"Date","Location","ShortName","LongName","Administered_Daily","Administered_Cumulative","Administered_7_Day_Rolling_Average","Admin_Dose_1_Daily","Admin_Dose_1_Cumulative","Admin_Dose_1_Day_Rolling_Average","Admin_Dose_2_Daily","Admin_Dose_2_Cumulative","Admin_Dose_2_Day_Rolling_Average","Series_Complete_Daily","Series_Complete_Cumulative","Series_Complete_Day_Rolling_Average","date_type","Administered_daily_change_report","Administered_daily_change_report_7dayroll"
"2021-06-04","US","USA","United States",,,,,,,,,,,,,"Report",1399594,1002963
"2021-04-06","US","USA","United States",,,,,,,,,,,,,"Report",1404280,2998533
"2021-05-26","US","USA","United States",,,,,,,,,,,,,"Report",1423432,1703162
"2021-01-23","US","USA","United States",,,,,,,,,,,,,"Report",1430031,925620
"2021-02-24","US","USA","United States",,,,,,,,,,,,,"Report",1432864,1454731
"2021-02-18","US","USA","United States",,,,,,,,,,,,,"Report",1455940,1621071
"2021-05-17","US","USA","United States",,,,,,,,,,,,,"Report",1486490,1830360
"2021-05-27","US","USA","United States",,,,,,,,,,,,,"Report",1512303,1618194
"2021-05-11","US","USA","United States",,,,,,,,,,,,,"Report",1533180,2194787
"2021-01-28","US","USA","United States",,,,,,,,,,,,,"Report",1541048,1235330
"2021-01-31","US","USA","United States",,,,,,,,,,,,,"Report",1545397,1324949
"2021-05-12","US","USA","United States",,,,,,,,,,,,,"Report",1548283,2159146
"2021-01-22","US","USA","United States",,,,,,,,,,,,,"Report",1561585,884336
"2021-02-10","US","USA","United States",,,,,,,,,,,,,"Report",1563780,1555959
"2021-03-09","US","USA","United States",,,,,,,,,,,,,"Report",1602746,2151571
"2021-06-12","US","USA","United States",,,,,,,,,,,,,"Report",1602933,1120571
"2021-05-29","US","USA","United States",,,,,,,,,,,,,"Report",1605272,1394832
"2021-02-05","US","USA","United States",,,,,,,,,,,,,"Report",1615502,1276364
"2021-02-11","US","USA","United States",,,,,,,,,,,,,"Report",1620300,1598080
"2021-04-27","US","USA","United States",,,,,,,,,,,,,"Report",1639215,2717062
"2021-03-16","US","USA","United States",,,,,,,,,,,,,"Report",1655996,2435037
"2021-03-01","US","USA","United States",,,,,,,,,,,,,"Report",1663984,1817502
"2021-01-29","US","USA","United States",,,,,,,,,,,,,"Report",1690979,1253815
"2021-01-30","US","USA","United States",,,,,,,,,,,,,"Report",1693241,1291416
"2021-02-20","US","USA","United States",,,,,,,,,,,,,"Report",1704457,1521088
"2021-03-23","US","USA","United States",,,,,,,,,,,,,"Report",1707293,2497025
"2021-03-02","US","USA","United States",,,,,,,,,,,,,"Report",1731614,1942788
"2021-03-08","US","USA","United States",,,,,,,,,,,,,"Report",1738102,2169981
"2021-05-19","US","USA","United States",,,,,,,,,,,,,"Report",1754966,1801333
"2021-05-23","US","USA","United States",,,,,,,,,,,,,"Report",1779363,1827882
"2021-03-30","US","USA","United States",,,,,,,,,,,,,"Report",1789510,2769331
"2021-05-05","US","USA","United States",,,,,,,,,,,,,"Report",1797771,2132487
"2021-02-21","US","USA","United States",,,,,,,,,,,,,"Report",1801134,1458040
"2021-04-20","US","USA","United States",,,,,,,,,,,,,"Report",1806929,3015065
"2021-02-25","US","USA","United States",,,,,,,,,,,,,"Report",1809170,1505193
"2021-05-14","US","USA","United States",,,,,,,,,,,,,"Report",1842180,1951333
"2021-02-19","US","USA","United States",,,,,,,,,,,,,"Report",1847276,1596355
"2021-05-10","US","USA","United States",,,,,,,,,,,,,"Report",1882392,2117025
"2021-03-03","US","USA","United States",,,,,,,,,,,,,"Report",1908873,2010790
"2021-05-13","US","USA","United States",,,,,,,,,,,,,"Report",1915642,2088962
"2021-02-12","US","USA","United States",,,,,,,,,,,,,"Report",2020288,1655907
"2021-03-15","US","USA","United States",,,,,,,,,,,,,"Report",2021586,2427430
"2021-03-22","US","USA","United States",,,,,,,,,,,,,"Report",2028324,2489697
"2021-03-10","US","USA","United States",,,,,,,,,,,,,"Report",2028692,2168688
"2021-03-04","US","USA","United States",,,,,,,,,,,,,"Report",2032374,2042676
"2021-06-17","US","USA","United States",,,,,,,,,,,,,"Report",2054216,1325967
"2021-05-16","US","USA","United States",,,,,,,,,,,,,"Report",2093069,1886917
"2021-04-26","US","USA","United States",,,,,,,,,,,,,"Report",2107046,2741021
"2021-05-20","US","USA","United States",,,,,,,,,,,,,"Report",2107077,1828681
"2021-05-02","US","USA","United States",,,,,,,,,,,,,"Report",2127998,2418580
"2021-04-05","US","USA","United States",,,,,,,,,,,,,"Report",2134049,3053566
"2021-02-07","US","USA","United States",,,,,,,,,,,,,"Report",2172973,1441091
"2021-04-19","US","USA","United States",,,,,,,,,,,,,"Report",2174495,3127038
"2021-02-26","US","USA","United States",,,,,,,,,,,,,"Report",2179947,1552717
"2021-05-21","US","USA","United States",,,,,,,,,,,,,"Report",2198101,1879526
"2021-02-06","US","USA","United States",,,,,,,,,,,,,"Report",2218752,1351437
"2021-02-13","US","USA","United States",,,,,,,,,,,,,"Report",2231326,1657703
"2021-04-28","US","USA","United States",,,,,,,,,,,,,"Report",2231745,2669644
"2021-02-14","US","USA","United States",,,,,,,,,,,,,"Report",2242472,1667631
"2021-03-24","US","USA","United States",,,,,,,,,,,,,"Report",2256824,2490889
"2021-03-17","US","USA","United States",,,,,,,,,,,,,"Report",2299771,2473762
"2021-05-22","US","USA","United States",,,,,,,,,,,,,"Report",2345872,1872697
"2021-03-29","US","USA","United States",,,,,,,,,,,,,"Report",2350144,2757586
"2021-02-27","US","USA","United States",,,,,,,,,,,,,"Report",2352116,1645240
"2021-05-09","US","USA","United States",,,,,,,,,,,,,"Report",2369784,2017931
"2021-05-15","US","USA","United States",,,,,,,,,,,,,"Report",2393676,1926448
"2021-05-06","US","USA","United States",,,,,,,,,,,,,"Report",2406932,2087608
"2021-02-28","US","USA","United States",,,,,,,,,,,,,"Report",2429823,1735053
"2021-03-05","US","USA","United States",,,,,,,,,,,,,"Report",2435246,2079147
"2021-03-07","US","USA","United States",,,,,,,,,,,,,"Report",2439427,2159392
"2021-03-11","US","USA","United States",,,,,,,,,,,,,"Report",2482603,2233006
"2021-04-14","US","USA","United States",,,,,,,,,,,,,"Report",2509055,3330740
"2021-04-21","US","USA","United States",,,,,,,,,,,,,"Report",2563671,3022868
"2021-05-08","US","USA","United States",,,,,,,,,,,,,"Report",2567872,1983391
"2021-03-19","US","USA","United States",,,,,,,,,,,,,"Report",2583810,2455116
"2021-04-13","US","USA","United States",,,,,,,,,,,,,"Report",2590736,3384387
"2021-04-12","US","USA","United States",,,,,,,,,,,,,"Report",2644914,3214893
"2021-03-31","US","USA","United States",,,,,,,,,,,,,"Report",2670947,2828491
"2021-03-18","US","USA","United States",,,,,,,,,,,,,"Report",2692381,2503731
"2021-03-14","US","USA","United States",,,,,,,,,,,,,"Report",2697779,2386932
"2021-04-29","US","USA","United States",,,,,,,,,,,,,"Report",2721079,2630407
"2021-04-30","US","USA","United States",,,,,,,,,,,,,"Report",2799184,2548207
"2021-05-07","US","USA","United States",,,,,,,,,,,,,"Report",2805581,2088522
"2021-03-25","US","USA","United States",,,,,,,,,,,,,"Report",2831442,2510755
"2021-04-07","US","USA","United States",,,,,,,,,,,,,"Report",2884580,3029052
"2021-03-06","US","USA","United States",,,,,,,,,,,,,"Report",2904229,2158020
"2021-03-12","US","USA","United States",,,,,,,,,,,,,"Report",2924112,2302844
"2021-04-22","US","USA","United States",,,,,,,,,,,,,"Report",2995734,2947229
"2021-04-25","US","USA","United States",,,,,,,,,,,,,"Report",3020948,2750656
"2021-03-21","US","USA","United States",,,,,,,,,,,,,"Report",3039915,2488734
"2021-03-20","US","USA","United States",,,,,,,,,,,,,"Report",3127679,2439857
"2021-03-13","US","USA","United States",,,,,,,,,,,,,"Report",3234490,2350025
"2021-03-28","US","USA","United States",,,,,,,,,,,,,"Report",3281956,2711611
"2021-05-01","US","USA","United States",,,,,,,,,,,,,"Report",3303794,2546144
"2021-04-24","US","USA","United States",,,,,,,,,,,,,"Report",3318230,2824078
"2021-04-01","US","USA","United States",,,,,,,,,,,,,"Report",3358112,2903730
"2021-04-04","US","USA","United States",,,,,,,,,,,,,"Report",3365324,3084436
"2021-04-23","US","USA","United States",,,,,,,,,,,,,"Report",3374587,2862758
"2021-03-26","US","USA","United States",,,,,,,,,,,,,"Report",3379393,2624410
"2021-04-08","US","USA","United States",,,,,,,,,,,,,"Report",3403061,3035473
"2021-03-27","US","USA","United States",,,,,,,,,,,,,"Report",3496047,2677034
"2021-04-15","US","USA","United States",,,,,,,,,,,,,"Report",3525204,3348189
"2021-04-18","US","USA","United States",,,,,,,,,,,,,"Report",3534901,3194240
"2021-04-11","US","USA","United States",,,,,,,,,,,,,"Report",3579422,3141912
"2021-04-17","US","USA","United States",,,,,,,,,,,,,"Report",3588990,3200601
"2021-04-09","US","USA","United States",,,,,,,,,,,,,"Report",3958065,3033045
"2021-04-16","US","USA","United States",,,,,,,,,,,,,"Report",3965883,3349306
"2021-04-02","US","USA","United States",,,,,,,,,,,,,"Report",3975059,2988825
"2021-04-03","US","USA","United States",,,,,,,,,,,,,"Report",4081959,3072527
"2021-04-10","US","USA","United States",,,,,,,,,,,,,"Report",4629928,3111327
"2020-12-16","LTC","LTC","Long Term Care",0,229,57,0,229,57,0,0,0,0,0,0,"Admin",,
"2020-12-15","LTC","LTC","Long Term Care",0,229,76,0,229,76,0,0,0,0,0,0,"Admin",,
"2020-12-14","LTC","LTC","Long Term Care",0,229,114,0,229,115,0,0,0,0,0,0,"Admin",,
"2021-06-27","LTC","LTC","Long Term Care",0,7888986,703,0,4652679,475,0,3171513,226,0,3192769,398,"Admin",,
"2021-06-26","LTC","LTC","Long Term Care",0,7888986,705,0,4652679,475,0,3171513,228,0,3192769,400,"Admin",,
"2020-12-17","LTC","LTC","Long Term Care",5,234,46,5,234,47,0,0,0,0,0,0,"Admin",,
"2021-05-31","LTC","LTC","Long Term Care",5,7859128,1335,3,4634065,786,2,3160431,535,2,3174351,858,"Admin",,
"2021-06-20","LTC","LTC","Long Term Care",16,7884065,1166,3,4649356,761,13,3169931,393,13,3189980,694,"Admin",,
"2021-05-30","LTC","LTC","Long Term Care",23,7859123,1541,15,4634062,889,8,3160429,638,9,3174349,969,"Admin",,
"2021-06-19","LTC","LTC","Long Term Care",25,7884049,1170,11,4649353,762,13,3169918,396,13,3189967,697,"Admin",,
"2021-05-09","LTC","LTC","Long Term Care",28,7822296,1662,9,4612352,1126,19,3145476,522,20,3154090,656,"Admin",,
"2021-05-02","LTC","LTC","Long Term Care",40,7810658,1633,26,4604473,1155,14,3141823,456,15,3149493,519,"Admin",,
"2021-06-13","LTC","LTC","Long Term Care",47,7875900,1279,12,4644031,791,35,3167178,484,35,3185119,783,"Admin",,
"2021-05-29","LTC","LTC","Long Term Care",56,7859100,1550,24,4634047,893,32,3160421,642,32,3174340,974,"Admin",,
"2021-05-08","LTC","LTC","Long Term Care",69,7822268,1664,30,4612343,1128,36,3145457,521,36,3154070,656,"Admin",,
"2021-04-25","LTC","LTC","Long Term Care",74,7799222,1444,13,4596386,1021,52,3138633,416,54,3145854,416,"Admin",,
"2021-06-12","LTC","LTC","Long Term Care",74,7875853,1289,22,4644019,804,52,3167143,482,57,3185084,794,"Admin",,
"2021-05-23","LTC","LTC","Long Term Care",84,7848332,1971,43,4627838,1111,41,3155965,855,42,3167562,1128,"Admin",,
"2021-04-18","LTC","LTC","Long Term Care",93,7789113,1699,35,4589238,1067,56,3135719,623,56,3142938,693,"Admin",,
"2021-04-24","LTC","LTC","Long Term Care",95,7799148,1446,27,4596373,1024,67,3138581,417,67,3145800,416,"Admin",,
"2021-06-05","LTC","LTC","Long Term Care",113,7866825,1103,15,4638393,621,96,3163769,478,100,3179520,740,"Admin",,
"2020-12-25","LTC","LTC","Long Term Care",115,58272,8074,115,55053,7643,0,42,6,0,42,6,"Admin",,
"2021-06-06","LTC","LTC","Long Term Care",120,7866945,1117,102,4638495,633,18,3163787,480,113,3179633,754,"Admin",,
"2021-04-17","LTC","LTC","Long Term Care",143,7789020,1745,60,4589203,1070,82,3135663,666,82,3142882,737,"Admin",,
"2021-05-15","LTC","LTC","Long Term Care",151,7834182,1702,104,4619728,1055,46,3149962,644,48,3159642,796,"Admin",,
"2021-05-01","LTC","LTC","Long Term Care",155,7810618,1638,119,4604447,1153,34,3141809,461,36,3149478,525,"Admin",,
"2021-05-22","LTC","LTC","Long Term Care",170,7848248,2009,54,4627795,1152,115,3155924,852,117,3167520,1125,"Admin",,
"2021-04-04","LTC","LTC","Long Term Care",179,7759151,2842,84,4570469,1384,95,3124697,1446,96,3127970,1738,"Admin",,
"2021-06-25","LTC","LTC","Long Term Care",202,7888986,708,109,4652679,477,89,3171513,230,105,3192769,402,"Admin",,
"2020-12-20","LTC","LTC","Long Term Care",211,2302,296,211,2103,268,0,0,0,0,0,0,"Admin",,
"2020-12-13","LTC","LTC","Long Term Care",229,229,229,229,229,229,0,0,0,0,0,0,"Admin",,
"2021-04-10","LTC","LTC","Long Term Care",309,7776803,2547,109,4581710,1618,197,3131004,915,198,3137722,1406,"Admin",,
"2020-12-19","LTC","LTC","Long Term Care",338,2091,298,338,1892,270,0,0,0,0,0,0,"Admin",,
"2021-05-16","LTC","LTC","Long Term Care",350,7834532,1748,333,4620061,1101,17,3149979,643,19,3159661,795,"Admin",,
"2021-04-11","LTC","LTC","Long Term Care",411,7777214,2580,58,4581768,1614,351,3131355,951,362,3138084,1444,"Admin",,
"2021-06-21","LTC","LTC","Long Term Care",614,7884679,1134,364,4649720,749,248,3170179,376,291,3190271,671,"Admin",,
"2021-04-03","LTC","LTC","Long Term Care",728,7758972,2969,238,4570385,1405,486,3124602,1551,486,3127874,1843,"Admin",,
"2021-06-14","LTC","LTC","Long Term Care",836,7876736,1256,443,4644474,788,370,3167548,461,449,3185568,765,"Admin",,
"2021-06-18","LTC","LTC","Long Term Care",961,7884024,1177,626,4649342,764,333,3169905,402,430,3189954,703,"Admin",,
"2021-06-07","LTC","LTC","Long Term Care",998,7867943,1259,464,4638959,699,531,3164318,555,577,3180210,837,"Admin",,
"2021-03-28","LTC","LTC","Long Term Care",1068,7739251,5686,228,4560780,2048,830,3114577,3592,830,3115801,3739,"Admin",,
"2021-04-23","LTC","LTC","Long Term Care",1252,7799053,1453,767,4596346,1029,482,3138514,419,482,3145733,419,"Admin",,
"2021-06-22","LTC","LTC","Long Term Care",1281,7885960,1035,960,4650680,694,317,3170496,334,846,3191117,625,"Admin",,
"2021-06-24","LTC","LTC","Long Term Care",1281,7888784,817,759,4652570,551,518,3171424,265,689,3192664,448,"Admin",,
"2021-05-03","LTC","LTC","Long Term Care",1287,7811945,1621,854,4605327,1137,430,3142253,462,528,3150021,539,"Admin",,
"2021-04-26","LTC","LTC","Long Term Care",1370,7800592,1405,984,4597370,998,383,3139016,402,393,3146247,403,"Admin",,
"2021-06-11","LTC","LTC","Long Term Care",1413,7875779,1295,827,4643997,803,585,3167091,488,808,3185027,801,"Admin",,
"2021-06-04","LTC","LTC","Long Term Care",1430,7866712,1095,680,4638378,622,744,3163673,469,912,3179420,730,"Admin",,
"2021-05-24","LTC","LTC","Long Term Care",1446,7849778,1934,726,4628564,1090,720,3156685,841,782,3168344,1106,"Admin",,
"2020-12-18","LTC","LTC","Long Term Care",1519,1753,292,1320,1554,259,0,0,0,0,0,0,"Admin",,
"2021-06-23","LTC","LTC","Long Term Care",1543,7887503,941,1131,4651811,648,410,3170906,290,858,3191975,545,"Admin",,
"2021-05-10","LTC","LTC","Long Term Care",1592,7823888,1706,872,4613224,1128,719,3146195,563,851,3154941,702,"Admin",,
"2021-03-27","LTC","LTC","Long Term Care",1600,7738183,6022,325,4560552,2140,1268,3113747,3834,1284,3114971,3980,"Admin",,
"2021-01-01","LTC","LTC","Long Term Care",1632,311606,36190,1628,304519,35638,4,608,81,4,608,80,"Admin",,
"2021-04-19","LTC","LTC","Long Term Care",1638,7790751,1593,1149,4590387,1002,486,3136205,584,486,3143424,584,"Admin",,
"2021-05-28","LTC","LTC","Long Term Care",1649,7859044,1566,716,4634023,897,851,3160389,654,999,3174308,986,"Admin",,
"2021-05-17","LTC","LTC","Long Term Care",1702,7836234,1763,872,4620933,1101,819,3150798,658,937,3160598,808,"Admin",,
"2021-04-14","LTC","LTC","Long Term Care",1795,7783779,2025,1197,4586062,1275,593,3133585,739,593,3140803,1048,"Admin",,
"2021-06-01","LTC","LTC","Long Term Care",1799,7860927,1281,900,4634965,730,888,3161319,537,1322,3175673,843,"Admin",,
"2021-04-30","LTC","LTC","Long Term Care",1853,7810463,1630,1301,4604328,1140,485,3141775,466,582,3149442,529,"Admin",,
"2021-05-21","LTC","LTC","Long Term Care",1971,7848078,2006,1234,4627741,1160,735,3155809,842,920,3167403,1115,"Admin",,
"2021-06-15","LTC","LTC","Long Term Care",1978,7878714,1244,1347,4645821,797,609,3168157,440,1172,3186740,753,"Admin",,
"2021-06-09","LTC","LTC","Long Term Care",1992,7871996,1288,1251,4641494,753,737,3165814,530,1208,3182674,803,"Admin",,
"2021-05-14","LTC","LTC","Long Term Care",2031,7834031,1690,1361,4619624,1044,668,3149916,642,794,3159594,794,"Admin",,
"2021-05-12","LTC","LTC","Long Term Care",2034,7829205,1803,1310,4616516,1152,720,3148208,638,907,3157380,793,"Admin",,
"2021-06-02","LTC","LTC","Long Term Care",2053,7862980,1194,1259,4636224,667,785,3162104,511,1375,3177048,786,"Admin",,
"2021-06-08","LTC","LTC","Long Term Care",2061,7870004,1296,1284,4640243,754,759,3165077,537,1256,3181466,827,"Admin",,
"2020-12-24","LTC","LTC","Long Term Care",2115,58157,8274,2096,54938,7815,19,42,6,19,42,6,"Admin",,
"2021-06-17","LTC","LTC","Long Term Care",2148,7883063,1242,1438,4648716,792,693,3169572,438,1368,3189524,757,"Admin",,
"2021-05-04","LTC","LTC","Long Term Care",2150,7814095,1539,1536,4606863,1084,602,3142855,433,787,3150808,524,"Admin",,
"2021-04-16","LTC","LTC","Long Term Care",2158,7788877,1769,1231,4589143,1077,908,3135581,682,909,3142800,753,"Admin",,
"2021-05-25","LTC","LTC","Long Term Care",2177,7851955,1800,1292,4629856,1021,874,3157559,776,1424,3169768,1060,"Admin",,
"2021-06-16","LTC","LTC","Long Term Care",2201,7880915,1274,1457,4647278,826,722,3168879,438,1416,3188156,783,"Admin",,
"2021-04-20","LTC","LTC","Long Term Care",2265,7793016,1576,1891,4592278,1059,369,3136574,512,369,3143793,511,"Admin",,
"2021-06-03","LTC","LTC","Long Term Care",2302,7865282,1126,1474,4637698,627,825,3162929,484,1460,3178508,742,"Admin",,
"2021-05-07","LTC","LTC","Long Term Care",2338,7822199,1676,1447,4612313,1141,886,3145421,521,1137,3154034,656,"Admin",,
"2021-06-10","LTC","LTC","Long Term Care",2370,7874366,1297,1676,4643170,782,692,3166506,511,1545,3184219,815,"Admin",,
"2021-04-12","LTC","LTC","Long Term Care",2384,7779598,2526,1604,4583372,1591,762,3132117,921,1251,3139335,1448,"Admin",,
"2021-04-13","LTC","LTC","Long Term Care",2386,7781984,2339,1493,4584865,1489,875,3132992,835,875,3140210,1248,"Admin",,
"2021-04-21","LTC","LTC","Long Term Care",2386,7795402,1660,1604,4593882,1117,766,3137340,536,766,3144559,536,"Admin",,
"2021-04-22","LTC","LTC","Long Term Care",2399,7797801,1583,1697,4595579,1095,692,3138032,480,692,3145251,480,"Admin",,
"2021-05-05","LTC","LTC","Long Term Care",2485,7816580,1507,1586,4608449,1042,886,3143741,442,1019,3151827,546,"Admin",,
"2021-04-29","LTC","LTC","Long Term Care",2583,7808610,1544,1871,4603027,1064,642,3141290,465,856,3148860,515,"Admin",,
"2021-05-26","LTC","LTC","Long Term Care",2667,7854622,1706,1696,4631552,1004,969,3158528,699,1773,3171541,1019,"Admin",,
"2021-04-28","LTC","LTC","Long Term Care",2708,7806027,1517,1879,4601156,1039,826,3140648,473,868,3148004,492,"Admin",,
"2021-04-27","LTC","LTC","Long Term Care",2727,7803319,1471,1907,4599277,1000,806,3139822,464,889,3147136,477,"Admin",,
"2021-04-05","LTC","LTC","Long Term Care",2761,7761912,2641,1765,4572234,1389,974,3125671,1239,1223,3129193,1550,"Admin",,
"2021-05-27","LTC","LTC","Long Term Care",2773,7857395,1612,1755,4633307,971,1010,3159538,638,1768,3173309,975,"Admin",,
"2021-04-02","LTC","LTC","Long Term Care",2777,7758244,3094,1268,4570147,1417,1486,3124116,1662,1836,3127388,1957,"Admin",,
"2021-05-13","LTC","LTC","Long Term Care",2795,7832000,1734,1747,4618263,1057,1040,3149248,673,1420,3158800,843,"Admin",,
"2021-04-15","LTC","LTC","Long Term Care",2940,7786719,1945,1850,4587912,1223,1088,3134673,713,1088,3141891,901,"Admin",,
"2021-05-18","LTC","LTC","Long Term Care",3116,7839350,1739,1776,4622709,1072,1329,3152127,663,1748,3162346,839,"Admin",,
"2021-05-06","LTC","LTC","Long Term Care",3281,7819861,1607,2417,4610866,1120,794,3144535,464,1070,3152897,576,"Admin",,
"2021-05-11","LTC","LTC","Long Term Care",3283,7827171,1868,1982,4615206,1192,1293,3147488,662,1532,3156473,809,"Admin",,
"2021-05-19","LTC","LTC","Long Term Care",3328,7842678,1924,1817,4624526,1144,1506,3153633,775,2060,3164406,1003,"Admin",,
"2021-04-09","LTC","LTC","Long Term Care",3395,7776494,2607,2251,4581601,1636,1122,3130807,956,1945,3137524,1448,"Admin",,
"2021-03-21","LTC","LTC","Long Term Care",3417,7699445,11974,869,4546441,3453,2519,3089431,8328,2520,3089625,8341,"Admin",,
"2021-05-20","LTC","LTC","Long Term Care",3429,7846107,2015,1981,4626507,1178,1441,3155074,832,2077,3166483,1097,"Admin",,
"2021-04-08","LTC","LTC","Long Term Care",3501,7773099,2518,2212,4579350,1496,1270,3129685,1008,2117,3135579,1432,"Admin",,
"2021-04-06","LTC","LTC","Long Term Care",3699,7765611,2569,2207,4574441,1436,1477,3127148,1120,2278,3131471,1480,"Admin",,
"2021-04-01","LTC","LTC","Long Term Care",3783,7755467,3677,2292,4568879,1644,1478,3122630,2017,1991,3125552,2290,"Admin",,
"2021-04-07","LTC","LTC","Long Term Care",3987,7769598,2559,2697,4577138,1507,1267,3128415,1038,1991,3133462,1414,"Admin",,
"2021-03-31","LTC","LTC","Long Term Care",4057,7751684,4242,2198,4566587,1749,1842,3121152,2467,2454,3123561,2707,"Admin",,
"2021-03-29","LTC","LTC","Long Term Care",4174,7743425,5144,1729,4562509,1936,2422,3116999,3173,2539,3118340,3332,"Admin",,
"2021-03-30","LTC","LTC","Long Term Care",4202,7747627,4713,1880,4564389,1838,2311,3119310,2844,2767,3121107,3056,"Admin",,
"2021-03-20","LTC","LTC","Long Term Care",6779,7696028,12626,1420,4545572,3552,5259,3086912,8871,5262,3087105,8884,"Admin",,
"2021-03-26","LTC","LTC","Long Term Care",6860,7736583,6762,2854,4560227,2296,3966,3112479,4404,4170,3113687,4549,"Admin",,
"2021-03-23","LTC","LTC","Long Term Care",7216,7714631,9920,2565,4551521,2979,4609,3099399,6846,4705,3099715,6870,"Admin",,
"2021-03-24","LTC","LTC","Long Term Care",7357,7721988,8805,2826,4554347,2702,4482,3103881,6019,4896,3104611,6102,"Admin",,
"2021-03-25","LTC","LTC","Long Term Care",7735,7729723,7769,3026,4557373,2472,4632,3108513,5217,4906,3109517,5336,"Admin",,
"2021-03-22","LTC","LTC","Long Term Care",7970,7707415,10954,2515,4548956,3222,5359,3094790,7619,5385,3095010,7634,"Admin",,
"2021-03-14","LTC","LTC","Long Term Care",7982,7615624,19780,1562,4522268,5769,6320,3031135,13797,6323,3031237,13801,"Admin",,
"2020-12-27","LTC","LTC","Long Term Care",8951,76591,10612,8807,73100,10142,23,78,11,23,78,11,"Admin",,
"2020-12-26","LTC","LTC","Long Term Care",9368,67640,9364,9240,64293,8914,13,55,8,13,55,7,"Admin",,
"2021-03-13","LTC","LTC","Long Term Care",10311,7607642,20172,2359,4520706,5969,7844,3024815,13969,7845,3024914,13972,"Admin",,
"2021-03-07","LTC","LTC","Long Term Care",10727,7477164,32636,2960,4481883,9397,7521,2934554,22875,7523,2934629,22885,"Admin",,
"2021-03-19","LTC","LTC","Long Term Care",13915,7689249,13131,4081,4544152,3686,9657,3081653,9240,9684,3081843,9253,"Admin",,
"2020-12-21","LTC","LTC","Long Term Care",14180,16482,2321,14011,16114,2269,0,0,0,0,0,0,"Admin",,
"2021-03-16","LTC","LTC","Long Term Care",14453,7645185,16673,4261,4530666,4695,10015,3051475,11719,10048,3051619,11728,"Admin",,
"2021-03-18","LTC","LTC","Long Term Care",14986,7675334,14333,4636,4540071,4068,10248,3071996,10041,10265,3072159,10051,"Admin",,
"2021-03-15","LTC","LTC","Long Term Care",15108,7630732,18486,4137,4526405,5345,10325,3041460,12875,10334,3041571,12880,"Admin",,
"2021-03-17","LTC","LTC","Long Term Care",15163,7660348,15431,4769,4535435,4330,10273,3061748,10857,10275,3061894,10866,"Admin",,
"2020-12-31","LTC","LTC","Long Term Care",16189,309974,35973,16112,302891,35422,70,604,80,70,604,80,"Admin",,
"2021-03-06","LTC","LTC","Long Term Care",16642,7466437,34207,4381,4478923,9781,12059,2927033,24051,12118,2927106,24061,"Admin",,
"2020-12-22","LTC","LTC","Long Term Care",16792,33274,4720,16567,32681,4636,9,9,1,9,9,1,"Admin",,
"2021-02-28","LTC","LTC","Long Term Care",21718,7248706,76997,5648,4416103,24549,15750,2774426,51617,15750,2774428,51617,"Admin",,
"2021-03-12","LTC","LTC","Long Term Care",22328,7597331,21076,6752,4518347,6258,15260,3016971,14571,15272,3017069,14583,"Admin",,
"2021-03-11","LTC","LTC","Long Term Care",22674,7575003,23598,6472,4511595,6907,15964,3001711,16417,15970,3001797,16428,"Admin",,
"2020-12-23","LTC","LTC","Long Term Care",22768,56042,7973,20161,52842,7516,14,23,3,14,23,3,"Admin",,
"2021-03-10","LTC","LTC","Long Term Care",23856,7552329,26198,7324,4505123,7552,16304,2985747,18344,16306,2985827,18354,"Admin",,
"2021-03-08","LTC","LTC","Long Term Care",24160,7501324,30683,7106,4488989,8762,16779,2951333,21579,16781,2951410,21590,"Admin",,
"2021-03-09","LTC","LTC","Long Term Care",27149,7528473,28713,8810,4497799,8230,18110,2969443,20164,18111,2969521,20174,"Admin",,
"2021-01-03","LTC","LTC","Long Term Care",32561,390689,44871,31844,382139,44148,61,724,92,61,724,92,"Admin",,
"2021-01-10","LTC","LTC","Long Term Care",35535,991682,85856,34913,975069,84704,414,4067,478,414,4067,477,"Admin",,
"2021-03-01","LTC","LTC","Long Term Care",37831,7286537,68891,11554,4427657,22197,25851,2800277,45939,25851,2800279,45939,"Admin",,
"2021-03-05","LTC","LTC","Long Term Care",39982,7449795,37905,11295,4474542,10775,28180,2914974,26708,28187,2914988,26709,"Admin",,
"2021-03-04","LTC","LTC","Long Term Care",40872,7409813,42253,10988,4463247,12144,29458,2886794,29603,29458,2886801,29603,"Admin",,
"2021-03-02","LTC","LTC","Long Term Care",40940,7327477,61369,12534,4440191,20010,28015,2828292,40706,28018,2828297,40706,"Admin",,
"2021-03-03","LTC","LTC","Long Term Care",41464,7368941,52228,12068,4452259,16411,29044,2857336,35229,29046,2857343,35229,"Admin",,
"2021-02-21","LTC","LTC","Long Term Care",42458,6709721,94893,12210,4244258,30685,29744,2413107,63151,29744,2413109,63150,"Admin",,
"2021-02-27","LTC","LTC","Long Term Care",42528,7226988,79960,11340,4410455,25487,30655,2758676,53616,30655,2758678,53616,"Admin",,
"2021-01-02","LTC","LTC","Long Term Care",46522,358128,41498,45776,350295,40857,55,663,87,55,663,86,"Admin",,
"2021-01-17","LTC","LTC","Long Term Care",49130,1819588,118272,41833,1720877,106544,7025,80597,10933,7025,80597,10932,"Admin",,
